attractionId,attractionTitle,city,reviews,relativeRanking1,relativeRanking2,ratio,attractionType,description,isOpen,suggestedDuration,address,travelersChoiceAward,linkedStatus,ticketPrice,averageRating
10,Sleek Wooden Table,Pagacton,1333,3,47,0.06382978723404255,Scenic Walking Areas,"Prow scuttle parrel provost Sail ho shrouds spirits boom mizzenmast yardarm. Pinnace holystone mizzenmast quarter crows nest nipperkin",true,80,"861 Leffler Vista, Pagacton, 15667, Montserrat",true,true,441,4.6
9,Licensed Rubber Hat,Gibsonfurt,1687,29,90,0.32222222222222224,Historic Sites,"Come on up and see me urchins. Wanna shiver me timbers? So, tell me, why do they call ye, “Cap’n Feathersword?”",true,152,"07501 Julianne Greens, Gibsonfurt, 06477-4038, Costa Rica",false,false,370,2.6
8,Rustic Steel Keyboard,East Julianaside,1675,12,66,0.18181818181818182,Monuments & Statues,"Jolly Roger me bring a spring upon her cable dead men tell no tales plunder to go on account",true,142,"153 Noah River, East Julianaside, 60359, Bosnia and Herzegovina",false,false,465,3.6
7,Fantastic Rubber Car,Sawaynville,2659,6,67,0.08955223880597014,Scenic Walking Areas,"Furl brig Arr mutiny keel spyglass pressgang reef deadlights lateen sail hands Jack Ketch line barque gunwalls lad nipper parley overhaul bring a spring upon her cable.",true,11,"6168 Troy Ridge, Sawaynville, 75839, San Marino",true,false,44,4.4
6,Awesome Concrete Bacon,Wolfville,1145,23,99,0.23232323232323232,Points of interest & Landmarks,"Damnation seize my soul if I give you quarters, or take any from you. It’s not everyday you get to do a pirate movie, you might as well go for it.",false,184,"34446 Mueller Shores, Wolfville, 14724, Luxembourg",true,false,165,2.6
5,Awesome Steel Pants,Hermistonton,1169,15,112,0.13392857142857142,National Park,"Damnation seize my soul if I give you quarters, or take any from you. It’s not everyday you get to do a pirate movie, you might as well go for it.",true,149,"86231 Strosin Row, Hermistonton, 75487-1759, Gibraltar",true,false,476,0.8
4,Gorgeous Rubber Gloves,Smithamtown,1814,13,69,0.18840579710144928,National Park,"Jolly Roger me bring a spring upon her cable dead men tell no tales plunder to go on account",true,29,"2782 Whitney Ports, Smithamtown, 45590-5716, Nauru",false,false,352,0.8
3,Sleek Soft Chicken,Powlowskiland,2902,20,36,0.5555555555555556,Points of interest & Landmarks,"Shrouds boatswain main sheet run a rig weigh anchor black spot league broadside skysail draft transom ballast American Main port",true,196,"339 Bryon Motorway, Powlowskiland, 82067, Ethiopia",false,true,366,0.2
2,Practical Metal Computer,South Alba,85,8,132,0.06060606060606061,Architectural Buildings,"grog yardarm hempen halter furl. Swab barque interloper chantey doubloon starboard grog black jack gangway rutters",true,85,"92448 Wehner Ramp, South Alba, 90819, Timor-Leste",false,true,479,3.2
1,Fantastic Granite Fish,Markusmouth,2561,25,108,0.23148148148148148,Architectural Buildings,"Yes, that is a hornpipe in my pocket and I am happy to see you. They don’t call me Long John because my head is so big.",true,122,"60908 Amari Drive, Markusmouth, 97300, Myanmar",true,false,280,3.4
