pictureId,attractionId,imageUrl
10,1,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image376.jpg
9,2,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image977.jpg
8,3,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image452.jpg
7,4,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image14.jpg
6,5,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image695.jpg
5,6,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image685.jpg
4,7,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image634.jpg
3,8,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image863.jpg
2,9,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image556.jpg
1,10,https://awsm-hr.s3.us-east-2.amazonaws.com/showcaseImages/images/image151.jpg
